Scenario ID,Threat Count,Intercepted,MCTS Score,Status
001-001,12,10.4,340.25,SAFE
001-002,8,7.4,313.53,SAFE
001-003,13,12.3,311.00,SAFE
001-004,9,7.9,186.69,SAFE
001-005,18,15.4,95.94,SAFE
001-006,17,15.6,326.85,SAFE
001-007,8,6.0,78.19,SAFE
001-008,13,11.4,-64.30,SAFE
001-009,17,15.8,414.32,SAFE
001-010,8,6.5,115.55,SAFE
001-011,22,20.2,433.62,SAFE
001-012,24,20.8,579.90,SAFE
001-013,4,3.5,87.19,SAFE
001-014,19,15.3,345.36,SAFE
001-015,7,5.7,273.25,SAFE
001-016,8,7.2,322.60,SAFE
001-017,28,24.9,720.33,SAFE
001-018,20,17.6,639.32,SAFE
001-019,5,4.6,408.32,SAFE
001-020,7,5.9,126.37,SAFE
