Scenario ID,Threat Count,MCTS Score,Survival Status
001,7,99.25,SAFE
002,11,102.75,SAFE
003,8,88.4,SAFE
004,20,105.9,SAFE
005,10,95.4,SAFE
046,4,99.95,SAFE
047,18,99.95,SAFE
048,5,95.4,SAFE
049,8,99.6,SAFE
050,6,99.95,SAFE
051,10,94.35,SAFE
052,30,94.35,SAFE
053,2,102.75,SAFE
054,4,99.25,SAFE
055,10,102.4,SAFE
056,2,100.65,SAFE
057,15,95.75,SAFE
058,8,99.25,SAFE
059,6,99.95,SAFE
060,21,101.0,SAFE
061,6,48.4,SAFE
062,4,91.2,SAFE
063,10,94.0,SAFE
064,10,99.6,SAFE
065,10,94.7,SAFE
066,3,89.8,SAFE
067,15,99.6,SAFE
068,10,100.65,SAFE
069,6,90.15,SAFE
070,20,101.0,SAFE
071,6,98.9,SAFE
072,20,98.9,SAFE
073,2,102.05,SAFE
074,15,94.35,SAFE
075,10,103.1,SAFE
076,2,93.65,SAFE
077,12,97.85,SAFE
078,20,100.65,SAFE
079,12,99.6,SAFE
080,3,93.3,SAFE
081,20,96.45,SAFE
082,4,95.75,SAFE
083,8,97.15,SAFE
084,25,99.25,SAFE
085,10,96.45,SAFE
086,4,102.05,SAFE
087,15,96.8,SAFE
088,10,95.05,SAFE
089,6,101.7,SAFE
090,8,103.8,SAFE
091,10,98.55,SAFE
092,6,94.35,SAFE
093,5,96.45,SAFE
094,30,95.4,SAFE
095,8,109.05,SAFE
006,3,105.55,SAFE
007,12,99.95,SAFE
008,32,92.6,SAFE
009,2,94.35,SAFE
010,3,97.15,SAFE
096,6,95.75,SAFE
097,12,95.4,SAFE
098,20,99.6,SAFE
099,1,105.2,SAFE
100,20,103.45,SAFE
011,8,92.25,SAFE
012,15,92.95,SAFE
013,3,96.45,SAFE
014,50,104.15,SAFE
015,4,95.4,SAFE
016,4,99.95,SAFE
017,9,91.9,SAFE
018,10,101.7,SAFE
019,5,98.2,SAFE
020,3,54.1,SAFE
021,8,98.9,SAFE
022,12,96.45,SAFE
023,6,101.0,SAFE
024,22,102.4,SAFE
025,2,101.7,SAFE
026,5,94.7,SAFE
027,10,103.1,SAFE
028,11,91.9,SAFE
029,15,100.65,SAFE
030,16,98.2,SAFE
031,7,98.55,SAFE
032,2,98.55,SAFE
033,8,95.05,SAFE
034,30,92.95,SAFE
035,1,95.05,SAFE
036,12,99.25,SAFE
037,12,102.05,SAFE
038,8,103.45,SAFE
039,3,98.2,SAFE
040,10,97.85,SAFE
041,4,99.25,SAFE
042,20,96.45,SAFE
043,1,98.55,SAFE
044,10,103.45,SAFE
045,8,91.9,SAFE
